,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.78,https://api.spotify.com/v1/audio-analysis/5WvDO1ZKap15ehQeNRHJ9H,0.781,171789,0.452,5WvDO1ZKap15ehQeNRHJ9H,3e-06,5,0.0902,-9.798,0,0.26,163.899,4,https://api.spotify.com/v1/tracks/5WvDO1ZKap15ehQeNRHJ9H,audio_features,spotify:track:5WvDO1ZKap15ehQeNRHJ9H,0.463
1,0.174,https://api.spotify.com/v1/audio-analysis/79LAFAkR1ATb4iIQvZuCL0,0.582,221801,0.728,79LAFAkR1ATb4iIQvZuCL0,0.0,8,0.139,-6.151,1,0.0292,150.013,4,https://api.spotify.com/v1/tracks/79LAFAkR1ATb4iIQvZuCL0,audio_features,spotify:track:79LAFAkR1ATb4iIQvZuCL0,0.537
2,0.0234,https://api.spotify.com/v1/audio-analysis/3nH3Gtm9GQVfiaYDr4AXji,0.432,212093,0.558,3nH3Gtm9GQVfiaYDr4AXji,0.000358,11,0.0924,-6.843,1,0.286,58.748,4,https://api.spotify.com/v1/tracks/3nH3Gtm9GQVfiaYDr4AXji,audio_features,spotify:track:3nH3Gtm9GQVfiaYDr4AXji,0.46
3,0.918,https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B,0.331,204326,0.235,69vToJ9BMbbLlFZo7k7A7B,0.0,10,0.137,-7.7,1,0.0299,171.232,3,https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B,audio_features,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.218
4,0.0543,https://api.spotify.com/v1/audio-analysis/3C2BKKKa7xrz2uWqIN1Mnh,0.776,206053,0.925,3C2BKKKa7xrz2uWqIN1Mnh,0.000427,11,0.189,-2.134,0,0.0792,95.951,4,https://api.spotify.com/v1/tracks/3C2BKKKa7xrz2uWqIN1Mnh,audio_features,spotify:track:3C2BKKKa7xrz2uWqIN1Mnh,0.715
5,0.51,https://api.spotify.com/v1/audio-analysis/36Ew5C2l5r1GAZifRhp4YG,0.731,143373,0.204,36Ew5C2l5r1GAZifRhp4YG,2.02e-05,11,0.0894,-18.934,1,0.0727,121.817,4,https://api.spotify.com/v1/tracks/36Ew5C2l5r1GAZifRhp4YG,audio_features,spotify:track:36Ew5C2l5r1GAZifRhp4YG,0.699
6,0.155,https://api.spotify.com/v1/audio-analysis/1vP1ZZcuO8mJUglQYvJG8t,0.782,108760,0.448,1vP1ZZcuO8mJUglQYvJG8t,0.00121,11,0.0522,-16.652,1,0.0616,122.439,4,https://api.spotify.com/v1/tracks/1vP1ZZcuO8mJUglQYvJG8t,audio_features,spotify:track:1vP1ZZcuO8mJUglQYvJG8t,0.873
7,0.257,https://api.spotify.com/v1/audio-analysis/3EikYy40GMSp8l5mDV6IQo,0.881,129547,0.623,3EikYy40GMSp8l5mDV6IQo,1.5e-06,1,0.0964,-9.662,1,0.119,88.953,4,https://api.spotify.com/v1/tracks/3EikYy40GMSp8l5mDV6IQo,audio_features,spotify:track:3EikYy40GMSp8l5mDV6IQo,0.745
8,0.551,https://api.spotify.com/v1/audio-analysis/5dcZUsgcMW57ju0A379O7c,0.784,188385,0.55,5dcZUsgcMW57ju0A379O7c,0.000607,8,0.0899,-8.645,1,0.0632,81.676,4,https://api.spotify.com/v1/tracks/5dcZUsgcMW57ju0A379O7c,audio_features,spotify:track:5dcZUsgcMW57ju0A379O7c,0.715
9,0.0179,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,0.774,189440,0.687,4ipnJyDU3Lq15qBAYNqlqK,1.17e-05,11,0.128,-4.818,0,0.0584,104.959,4,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,audio_features,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,0.308
10,0.02,https://api.spotify.com/v1/audio-analysis/1VFc44SCD83VLUMDJh4psj,0.601,200075,0.647,1VFc44SCD83VLUMDJh4psj,2.26e-05,11,0.265,-4.436,0,0.102,126.454,5,https://api.spotify.com/v1/tracks/1VFc44SCD83VLUMDJh4psj,audio_features,spotify:track:1VFc44SCD83VLUMDJh4psj,0.517
11,0.259,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,0.822,283748,0.969,2yAVzRiEQooPEJ9SYx11L3,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,0.765
12,0.0481,https://api.spotify.com/v1/audio-analysis/3IFVskDtdJTwAZ0I8HGvoO,0.909,210960,0.628,3IFVskDtdJTwAZ0I8HGvoO,0.291,5,0.0967,-10.664,1,0.0722,130.65,4,https://api.spotify.com/v1/tracks/3IFVskDtdJTwAZ0I8HGvoO,audio_features,spotify:track:3IFVskDtdJTwAZ0I8HGvoO,0.697
13,0.0749,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,0.579,229880,0.776,7aftSOGSOpSoIlVAQVBb71,0.0,8,0.239,-5.365,1,0.173,136.044,4,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71,audio_features,spotify:track:7aftSOGSOpSoIlVAQVBb71,0.434
14,0.165,https://api.spotify.com/v1/audio-analysis/4rgwri7LajWVZvdj2N81SS,0.943,145760,0.677,4rgwri7LajWVZvdj2N81SS,0.0,7,0.327,-6.033,1,0.246,112.001,4,https://api.spotify.com/v1/tracks/4rgwri7LajWVZvdj2N81SS,audio_features,spotify:track:4rgwri7LajWVZvdj2N81SS,0.615
15,0.69,https://api.spotify.com/v1/audio-analysis/2WhRJwrsy57H5Mm1P3lykJ,0.393,177840,0.649,2WhRJwrsy57H5Mm1P3lykJ,0.0,4,0.159,-9.103,0,0.0541,114.054,4,https://api.spotify.com/v1/tracks/2WhRJwrsy57H5Mm1P3lykJ,audio_features,spotify:track:2WhRJwrsy57H5Mm1P3lykJ,0.697
16,0.107,https://api.spotify.com/v1/audio-analysis/43ile6cBzr9uaC4bJf6J3N,0.645,591707,0.924,43ile6cBzr9uaC4bJf6J3N,0.0266,10,0.0982,-7.697,0,0.0569,90.852,4,https://api.spotify.com/v1/tracks/43ile6cBzr9uaC4bJf6J3N,audio_features,spotify:track:43ile6cBzr9uaC4bJf6J3N,0.89
17,0.00121,https://api.spotify.com/v1/audio-analysis/1JG8pJ7G8qJiy98DzCBL2E,0.535,198694,0.836,1JG8pJ7G8qJiy98DzCBL2E,0.0,2,0.102,-5.593,1,0.0746,85.005,4,https://api.spotify.com/v1/tracks/1JG8pJ7G8qJiy98DzCBL2E,audio_features,spotify:track:1JG8pJ7G8qJiy98DzCBL2E,0.443
18,0.00977,https://api.spotify.com/v1/audio-analysis/11FvComd16zZX61DrlP3o1,0.391,210851,0.8,11FvComd16zZX61DrlP3o1,3.08e-06,2,0.329,-2.761,1,0.0523,83.81,4,https://api.spotify.com/v1/tracks/11FvComd16zZX61DrlP3o1,audio_features,spotify:track:11FvComd16zZX61DrlP3o1,0.398
19,0.191,https://api.spotify.com/v1/audio-analysis/3498wF96LsgVgMkGmJzJOC,0.646,249067,0.758,3498wF96LsgVgMkGmJzJOC,0.097,10,0.103,-4.34,1,0.0314,91.998,4,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,audio_features,spotify:track:3498wF96LsgVgMkGmJzJOC,0.424
20,0.101,https://api.spotify.com/v1/audio-analysis/7b4yGtR0rujvLi5EBfKKJ2,0.608,211160,0.768,7b4yGtR0rujvLi5EBfKKJ2,1.41e-06,1,0.0942,-9.911,1,0.0364,132.699,4,https://api.spotify.com/v1/tracks/7b4yGtR0rujvLi5EBfKKJ2,audio_features,spotify:track:7b4yGtR0rujvLi5EBfKKJ2,0.748
21,0.328,https://api.spotify.com/v1/audio-analysis/5tHbBxWjTxaQpL5SrT17Tz,0.59,256488,0.306,5tHbBxWjTxaQpL5SrT17Tz,6.95e-06,10,0.0377,-16.326,1,0.0325,77.069,4,https://api.spotify.com/v1/tracks/5tHbBxWjTxaQpL5SrT17Tz,audio_features,spotify:track:5tHbBxWjTxaQpL5SrT17Tz,0.493
22,0.00538,https://api.spotify.com/v1/audio-analysis/2XhNQkztryb8TRLYnxpQmr,0.661,281250,0.957,2XhNQkztryb8TRLYnxpQmr,0.132,6,0.0622,-3.486,1,0.0898,127.948,4,https://api.spotify.com/v1/tracks/2XhNQkztryb8TRLYnxpQmr,audio_features,spotify:track:2XhNQkztryb8TRLYnxpQmr,0.263
23,0.00149,https://api.spotify.com/v1/audio-analysis/7m3povhdMDLZwuEKak0l0n,0.638,190014,0.816,7m3povhdMDLZwuEKak0l0n,0.00115,2,0.195,-5.503,1,0.0308,112.014,4,https://api.spotify.com/v1/tracks/7m3povhdMDLZwuEKak0l0n,audio_features,spotify:track:7m3povhdMDLZwuEKak0l0n,0.386
24,0.0191,https://api.spotify.com/v1/audio-analysis/60ynqVuPGEmnNqhRRehCZI,0.658,189027,0.827,60ynqVuPGEmnNqhRRehCZI,0.000185,8,0.341,-8.018,1,0.102,150.024,4,https://api.spotify.com/v1/tracks/60ynqVuPGEmnNqhRRehCZI,audio_features,spotify:track:60ynqVuPGEmnNqhRRehCZI,0.565
25,0.25,https://api.spotify.com/v1/audio-analysis/7hJvx1rJTUsKUngnHdBuir,0.708,198298,0.675,7hJvx1rJTUsKUngnHdBuir,0.0,11,0.19,-6.351,0,0.481,78.655,4,https://api.spotify.com/v1/tracks/7hJvx1rJTUsKUngnHdBuir,audio_features,spotify:track:7hJvx1rJTUsKUngnHdBuir,0.599
26,0.295,https://api.spotify.com/v1/audio-analysis/7JJfAJGVOnuszOf6o1SZtq,0.351,185905,0.765,7JJfAJGVOnuszOf6o1SZtq,0.0,6,0.0788,-3.501,0,0.0635,157.84,4,https://api.spotify.com/v1/tracks/7JJfAJGVOnuszOf6o1SZtq,audio_features,spotify:track:7JJfAJGVOnuszOf6o1SZtq,0.567
27,0.229,https://api.spotify.com/v1/audio-analysis/5esPpmrM2AsyDVgOKzWQwU,0.58,240600,0.687,5esPpmrM2AsyDVgOKzWQwU,0.0,6,0.109,-5.4,1,0.106,76.014,4,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU,audio_features,spotify:track:5esPpmrM2AsyDVgOKzWQwU,0.187
28,0.0261,https://api.spotify.com/v1/audio-analysis/7shOuDh6jyORhGzMIU49Uj,0.565,234120,0.827,7shOuDh6jyORhGzMIU49Uj,0.0,4,0.0743,-4.982,1,0.126,165.087,4,https://api.spotify.com/v1/tracks/7shOuDh6jyORhGzMIU49Uj,audio_features,spotify:track:7shOuDh6jyORhGzMIU49Uj,0.926
